day,year,mo,da,collision_date,temp,dewp,slp,visib,gust,prcp,fog,num_collisions
1,2012,07,16,2012-07-16,79.0,67.9,1011.5,9.2,22.0,0.26,0,528
1,2012,07,02,2012-07-02,80.3,54.1,1011.6,10.0,999.9,0.0,0,564
1,2012,07,23,2012-07-23,76.0,67.2,1016.9,8.9,999.9,0.0,0,505
1,2012,07,09,2012-07-09,78.5,56.8,1012.7,10.0,999.9,0.09,0,533
1,2012,07,30,2012-07-30,73.1,65.1,1018.6,10.0,999.9,0.01,0,530
2,2012,07,24,2012-07-24,80.3,67.3,1005.4,8.1,18.1,0.15,0,574
2,2012,07,17,2012-07-17,84.6,63.3,1009.3,9.4,18.1,0.0,0,648
2,2012,07,31,2012-07-31,73.4,64.3,1016.7,10.0,999.9,0.0,0,540
2,2012,07,10,2012-07-10,76.5,56.3,1016.0,10.0,999.9,0.0,0,524
2,2012,07,03,2012-07-03,79.8,56.7,1012.8,10.0,999.9,0.0,0,664
3,2012,07,11,2012-07-11,77.1,62.0,1019.9,10.0,999.9,0.0,0,565
3,2012,07,04,2012-07-04,81.8,65.6,1009.1,9.2,999.9,0.06,0,432
3,2012,07,25,2012-07-25,76.5,53.5,1009.7,10.0,999.9,0.0,0,612
3,2012,07,18,2012-07-18,85.3,69.1,1008.9,7.2,20.0,0.0,1,559
4,2012,07,12,2012-07-12,77.4,60.2,1021.7,10.0,999.9,0.0,0,577
4,2012,07,26,2012-07-26,78.0,62.4,1007.0,8.9,29.9,0.0,1,604
4,2012,07,05,2012-07-05,86.7,64.3,1007.4,9.4,999.9,99.99,0,591
4,2012,07,19,2012-07-19,73.3,67.2,1013.2,7.5,18.1,1.76,0,522
5,2012,07,27,2012-07-27,76.6,69.3,1007.0,9.1,999.9,0.6,0,638
5,2012,07,13,2012-07-13,78.9,60.7,1021.8,9.9,999.9,0.0,0,603
5,2012,07,06,2012-07-06,81.9,62.3,1011.7,10.0,999.9,0.0,0,638
5,2012,07,20,2012-07-20,67.2,62.8,1014.9,7.4,21.0,0.17,0,604
6,2012,07,28,2012-07-28,75.5,69.6,1012.2,7.0,15.9,0.0,1,513
6,2012,07,21,2012-07-21,68.1,58.5,1018.3,9.8,999.9,0.43,0,528
6,2012,07,07,2012-07-07,84.9,65.9,1010.1,9.5,17.1,0.0,0,490
6,2012,07,14,2012-07-14,78.5,62.7,1021.6,10.0,19.0,0.0,1,536
7,2012,07,01,2012-07-01,83.6,63.0,1008.9,9.7,18.1,0.0,0,538
7,2012,07,29,2012-07-29,71.7,66.1,1015.1,9.4,15.9,0.18,0,376
7,2012,07,08,2012-07-08,80.6,65.5,1010.1,8.5,15.9,0.59,0,464
7,2012,07,22,2012-07-22,72.5,59.4,1020.3,10.0,999.9,0.0,0,498
7,2012,07,15,2012-07-15,79.7,68.6,1018.3,9.1,999.9,0.0,0,494
1,2012,08,06,2012-08-06,77.3,66.9,1015.7,8.9,22.0,0.49,0,593
1,2012,08,13,2012-08-13,76.3,61.2,1014.6,9.2,999.9,0.05,0,504
1,2012,08,20,2012-08-20,71.4,56.7,1012.5,10.0,999.9,0.0,0,473
1,2012,08,27,2012-08-27,71.9,66.3,1019.7,8.6,18.1,0.01,1,548
2,2012,08,28,2012-08-28,77.9,67.4,1011.5,9.0,22.9,0.75,0,587
2,2012,08,07,2012-08-07,75.2,58.1,1015.7,10.0,999.9,0.01,0,547
2,2012,08,14,2012-08-14,76.0,62.6,1014.0,9.6,999.9,0.0,0,520
2,2012,08,21,2012-08-21,72.8,57.2,1015.5,10.0,999.9,0.0,0,482
3,2012,08,29,2012-08-29,73.3,53.2,1014.0,10.0,21.0,0.01,0,550
3,2012,08,15,2012-08-15,73.6,68.9,1011.5,6.5,999.9,0.01,1,602
3,2012,08,22,2012-08-22,73.8,60.3,1019.6,9.8,999.9,0.0,0,504
3,2012,08,01,2012-08-01,72.2,68.4,1012.4,7.8,999.9,0.55,1,616
3,2012,08,08,2012-08-08,77.8,67.1,1014.7,8.8,999.9,0.0,0,528
4,2012,08,02,2012-08-02,75.0,68.4,1011.3,6.2,999.9,0.11,1,570
4,2012,08,16,2012-08-16,74.0,64.3,1011.9,6.7,15.0,0.15,1,613
4,2012,08,30,2012-08-30,72.0,49.4,1017.6,10.0,20.0,0.0,0,618
4,2012,08,09,2012-08-09,78.2,69.6,1013.6,9.3,15.0,0.0,0,581
4,2012,08,23,2012-08-23,74.7,61.7,1020.4,8.9,999.9,0.0,0,574
5,2012,08,24,2012-08-24,77.3,60.9,1020.7,9.3,999.9,0.0,0,601
5,2012,08,31,2012-08-31,78.7,56.1,1016.3,9.9,27.0,0.0,0,701
5,2012,08,03,2012-08-03,77.9,70.8,1015.3,6.0,18.1,0.0,1,589
5,2012,08,17,2012-08-17,77.9,60.7,1010.6,9.5,17.1,0.0,0,574
5,2012,08,10,2012-08-10,75.3,71.3,1011.6,7.6,23.9,0.0,1,617
6,2012,08,25,2012-08-25,75.7,65.2,1023.6,7.3,18.1,0.01,1,474
6,2012,08,11,2012-08-11,77.7,71.5,1010.2,7.8,28.0,1.1,0,507
6,2012,08,04,2012-08-04,77.9,71.7,1021.1,5.7,18.1,0.0,1,568
6,2012,08,18,2012-08-18,69.8,63.7,1011.3,8.4,999.9,0.01,0,540
7,2012,08,19,2012-08-19,68.7,55.0,1014.2,10.0,999.9,0.23,0,467
7,2012,08,05,2012-08-05,78.1,72.4,1019.7,5.8,22.9,0.0,1,518
7,2012,08,12,2012-08-12,77.8,65.4,1012.5,8.7,29.9,0.62,0,505
7,2012,08,26,2012-08-26,73.9,62.4,1025.2,10.0,15.0,0.0,0,471
1,2012,09,03,2012-09-03,73.8,65.1,1019.8,10.0,999.9,0.0,0,373
1,2012,09,24,2012-09-24,59.0,40.4,1020.0,10.0,20.0,0.0,0,562
1,2012,09,10,2012-09-10,65.4,49.1,1014.3,10.0,26.0,0.16,0,637
1,2012,09,17,2012-09-17,66.5,48.0,1018.3,10.0,999.9,0.0,0,452
2,2012,09,18,2012-09-18,70.6,64.8,1011.8,7.6,27.0,0.11,1,556
2,2012,09,25,2012-09-25,62.0,43.4,1021.0,10.0,15.9,0.0,0,594
2,2012,09,11,2012-09-11,62.8,41.8,1022.9,10.0,26.0,0.0,0,521
2,2012,09,04,2012-09-04,72.6,68.4,1016.8,8.8,999.9,0.02,0,606
3,2012,09,05,2012-09-05,75.2,71.5,1009.7,6.7,22.9,0.13,0,601
3,2012,09,26,2012-09-26,67.7,56.8,1018.7,10.0,999.9,0.0,0,404
3,2012,09,12,2012-09-12,68.5,49.7,1026.5,10.0,999.9,0.0,0,651
3,2012,09,19,2012-09-19,66.7,56.1,1015.2,7.6,27.0,0.68,0,612
4,2012,09,20,2012-09-20,61.0,48.3,1021.5,10.0,22.9,0.04,0,522
4,2012,09,06,2012-09-06,73.2,65.3,1011.3,9.7,999.9,0.59,0,572
4,2012,09,27,2012-09-27,69.0,60.4,1019.4,8.7,20.0,0.01,0,620
4,2012,09,13,2012-09-13,70.4,54.8,1027.4,10.0,999.9,0.0,0,632
5,2012,09,14,2012-09-14,70.5,57.7,1023.4,9.7,999.9,0.0,0,609
5,2012,09,28,2012-09-28,65.2,61.8,1019.8,5.9,22.9,0.25,1,703
5,2012,09,21,2012-09-21,64.7,53.7,1018.9,10.0,22.0,0.0,0,654
5,2012,09,07,2012-09-07,77.0,67.8,1012.2,8.7,999.9,0.0,0,680
6,2012,09,22,2012-09-22,66.3,60.6,1012.6,8.1,20.0,0.01,0,547
6,2012,09,01,2012-09-01,81.6,61.3,1014.6,9.9,22.9,0.0,0,515
6,2012,09,08,2012-09-08,75.3,69.6,1007.5,8.8,28.9,0.0,1,598
6,2012,09,29,2012-09-29,62.4,58.8,1013.0,7.6,21.0,0.37,1,485
6,2012,09,15,2012-09-15,67.2,54.1,1019.1,10.0,20.0,0.01,0,557
7,2012,09,16,2012-09-16,65.1,46.5,1018.9,10.0,20.0,0.0,0,458
7,2012,09,30,2012-09-30,60.5,52.5,1010.0,9.5,20.0,0.75,0,449
7,2012,09,09,2012-09-09,68.4,57.3,1009.6,9.5,21.0,0.04,0,464
7,2012,09,23,2012-09-23,63.8,50.3,1015.4,9.0,15.9,0.22,0,480
7,2012,09,02,2012-09-02,75.4,65.9,1017.7,9.8,999.9,0.0,0,421
1,2012,10,08,2012-10-08,49.9,42.9,1022.9,9.0,23.9,0.2,0,376
1,2012,10,15,2012-10-15,65.3,57.8,1009.5,9.4,26.0,0.0,0,607
1,2012,10,01,2012-10-01,60.6,46.8,1011.2,10.0,33.0,0.46,0,555
1,2012,10,29,2012-10-29,56.9,53.1,994.0,6.1,52.1,0.03,0,298
1,2012,10,22,2012-10-22,57.8,40.1,1017.4,10.0,26.0,0.0,0,609
2,2012,10,09,2012-10-09,53.8,48.5,1022.3,8.5,26.0,0.46,0,570
2,2012,10,16,2012-10-16,55.8,42.5,1007.4,9.9,25.1,0.12,0,602
2,2012,10,23,2012-10-23,59.0,44.9,1018.7,9.7,999.9,0.0,0,522
2,2012,10,02,2012-10-02,63.7,54.2,1015.5,7.3,999.9,0.0,0,593
2,2012,10,30,2012-10-30,53.9,48.9,989.0,8.1,46.0,1.97,0,372
3,2012,10,03,2012-10-03,65.6,64.3,1016.6,1.5,999.9,0.45,1,502
3,2012,10,24,2012-10-24,57.1,53.5,1019.9,6.4,999.9,0.07,0,494
3,2012,10,31,2012-10-31,49.7,43.2,999.6,8.6,17.1,0.06,0,549
3,2012,10,10,2012-10-10,58.2,53.8,1013.5,7.5,22.9,0.03,0,640
3,2012,10,17,2012-10-17,51.9,38.0,1014.3,10.0,999.9,0.0,0,615
4,2012,10,11,2012-10-11,53.4,35.3,1018.9,10.0,28.9,0.02,0,657
4,2012,10,25,2012-10-25,58.0,51.3,1023.9,10.0,999.9,0.0,0,511
4,2012,10,04,2012-10-04,68.6,66.2,1019.0,2.9,999.9,0.01,1,554
4,2012,10,18,2012-10-18,56.8,46.7,1016.1,9.7,15.9,0.0,0,630
5,2012,10,19,2012-10-19,63.2,61.1,1010.9,6.1,23.9,0.25,1,738
5,2012,10,05,2012-10-05,67.8,59.7,1016.7,8.4,999.9,0.0,0,693
5,2012,10,26,2012-10-26,60.8,53.4,1022.6,10.0,999.9,0.0,0,598
5,2012,10,12,2012-10-12,51.2,35.9,1021.1,10.0,25.1,0.0,0,594
6,2012,10,27,2012-10-27,61.9,53.9,1017.0,9.6,16.9,0.0,0,524
6,2012,10,06,2012-10-06,66.1,57.9,1010.5,7.0,21.0,0.01,1,500
6,2012,10,13,2012-10-13,45.2,25.9,1030.8,10.0,27.0,0.0,0,547
6,2012,10,20,2012-10-20,62.7,58.6,1006.5,5.0,22.0,0.13,1,587
7,2012,10,21,2012-10-21,56.5,39.0,1012.9,10.0,23.9,0.0,0,426
7,2012,10,07,2012-10-07,52.5,42.3,1017.4,9.3,23.9,0.04,0,481
7,2012,10,28,2012-10-28,57.7,50.0,1010.8,9.6,32.1,0.0,0,403
7,2012,10,14,2012-10-14,58.7,45.9,1021.9,10.0,26.0,0.0,0,517
1,2012,11,05,2012-11-05,42.3,27.3,1016.3,10.0,23.9,0.0,0,479
1,2012,11,26,2012-11-26,40.3,19.7,1017.3,10.0,23.9,0.0,0,563
1,2012,11,12,2012-11-12,56.7,50.2,1029.8,7.4,17.1,0.0,1,547
1,2012,11,19,2012-11-19,43.0,34.8,1032.3,10.0,22.9,0.0,0,585
2,2012,11,20,2012-11-20,44.4,32.8,1022.1,10.0,19.0,0.0,0,671
2,2012,11,27,2012-11-27,38.7,27.2,1024.2,7.0,999.9,0.0,0,583
2,2012,11,13,2012-11-13,52.4,47.5,1024.6,8.8,29.9,0.06,0,648
2,2012,11,06,2012-11-06,36.6,17.4,1022.0,10.0,18.1,0.07,0,514
3,2012,11,14,2012-11-14,42.8,29.9,1031.9,9.6,28.9,0.33,0,625
3,2012,11,28,2012-11-28,37.5,28.8,1022.7,9.3,28.0,0.59,0,512
3,2012,11,07,2012-11-07,37.1,27.1,1014.6,7.3,55.9,0.0,1,718
3,2012,11,21,2012-11-21,46.5,32.7,1021.7,10.0,22.0,0.0,0,689
4,2012,11,01,2012-11-01,47.7,37.4,1001.8,10.0,23.9,0.04,0,439
4,2012,11,15,2012-11-15,40.4,25.0,1029.7,10.0,27.0,0.0,0,623
4,2012,11,08,2012-11-08,41.2,35.1,1006.4,5.1,59.1,2.45,0,550
4,2012,11,22,2012-11-22,47.3,36.2,1023.4,10.0,999.9,0.0,0,384
4,2012,11,29,2012-11-29,37.5,21.9,1025.9,9.7,22.9,0.01,0,515
5,2012,11,02,2012-11-02,48.2,36.0,1003.4,10.0,25.1,0.0,0,345
5,2012,11,16,2012-11-16,41.9,29.5,1026.4,9.7,999.9,0.0,0,672
5,2012,11,30,2012-11-30,41.3,25.8,1027.7,9.3,22.9,0.0,0,576
5,2012,11,09,2012-11-09,43.3,25.8,1016.1,9.8,43.9,0.17,0,688
5,2012,11,23,2012-11-23,48.3,40.8,1016.5,8.9,999.9,0.0,1,481
6,2012,11,03,2012-11-03,44.7,30.1,1009.4,10.0,25.1,0.01,0,307
6,2012,11,10,2012-11-10,48.0,35.0,1025.0,7.9,20.0,0.0,0,444
6,2012,11,24,2012-11-24,44.1,27.7,1006.8,9.5,30.9,0.01,1,458
6,2012,11,17,2012-11-17,43.6,27.9,1034.8,10.0,22.0,0.0,0,542
7,2012,11,04,2012-11-04,43.2,29.6,1014.1,10.0,22.0,0.0,0,344
7,2012,11,11,2012-11-11,54.7,45.1,1030.8,7.0,999.9,0.0,0,526
7,2012,11,18,2012-11-18,43.2,31.0,1037.2,9.8,21.0,0.0,0,446
7,2012,11,25,2012-11-25,36.6,17.2,1011.6,10.0,30.9,0.0,0,415
1,2012,12,10,2012-12-10,50.3,49.5,1011.1,2.8,26.0,0.35,1,619
1,2012,12,17,2012-12-17,42.0,40.4,1011.3,5.6,28.0,0.44,0,649
1,2012,12,31,2012-12-31,31.5,17.2,1019.6,10.0,35.9,0.0,0,482
1,2012,12,24,2012-12-24,37.0,19.8,1016.1,10.0,22.0,0.0,0,518
1,2012,12,03,2012-12-03,53.5,45.3,1021.4,7.0,999.9,0.04,0,621
2,2012,12,25,2012-12-25,37.5,32.5,1016.2,6.8,25.1,0.01,0,354
2,2012,12,04,2012-12-04,51.9,47.1,1022.8,5.6,999.9,0.04,1,621
2,2012,12,18,2012-12-18,47.3,44.5,1000.3,5.3,22.0,0.34,0,645
2,2012,12,11,2012-12-11,50.1,43.2,1013.2,7.3,26.0,0.23,1,578
3,2012,12,05,2012-12-05,52.6,41.5,1016.3,9.1,28.0,0.01,0,514
3,2012,12,12,2012-12-12,40.1,23.6,1026.0,10.0,19.0,0.01,0,550
3,2012,12,19,2012-12-19,44.0,30.5,1007.4,10.0,34.0,0.07,0,590
3,2012,12,26,2012-12-26,32.2,25.3,1022.1,8.8,29.9,0.13,1,531
4,2012,12,20,2012-12-20,39.8,29.0,1020.3,10.0,29.9,0.02,0,606
4,2012,12,06,2012-12-06,35.0,16.8,1025.5,10.0,27.0,0.01,0,620
4,2012,12,13,2012-12-13,40.3,24.6,1029.8,10.0,999.9,0.0,0,545
4,2012,12,27,2012-12-27,39.1,37.1,996.6,6.0,53.0,0.84,1,525
5,2012,12,21,2012-12-21,47.3,42.9,996.6,7.1,42.9,0.56,0,751
5,2012,12,28,2012-12-28,33.0,22.4,1015.3,9.4,34.0,0.37,0,557
5,2012,12,14,2012-12-14,41.4,23.2,1024.4,10.0,25.1,0.0,0,648
5,2012,12,07,2012-12-07,38.8,30.9,1022.7,7.9,999.9,0.0,0,714
6,2012,12,29,2012-12-29,32.5,26.2,1013.1,7.8,28.0,0.0,1,442
6,2012,12,22,2012-12-22,37.4,25.0,998.4,10.0,32.1,0.7,0,542
6,2012,12,15,2012-12-15,42.6,27.1,1024.5,9.9,19.0,0.0,0,523
6,2012,12,08,2012-12-08,47.3,46.0,1013.7,3.7,22.0,0.32,1,580
6,2012,12,01,2012-12-01,38.5,32.1,1031.4,9.3,22.0,0.0,0,480
7,2012,12,23,2012-12-23,37.8,20.5,1011.5,10.0,32.1,0.01,0,408
7,2012,12,30,2012-12-30,32.4,21.1,1011.1,8.8,49.9,1.9,0,411
7,2012,12,02,2012-12-02,44.3,41.0,1026.9,3.9,999.9,0.08,1,455
7,2012,12,09,2012-12-09,46.2,41.7,1020.7,7.2,21.0,0.25,0,544
7,2012,12,16,2012-12-16,44.5,37.8,1019.8,7.5,27.0,0.0,0,500